Id,TakimId,Cmimi,DataPagesimit,MetodaPagesimit
1,1,1015.75,2/2/2025,2
2,2,1031.5,2/3/2025,1
3,3,1047.25,2/4/2025,2
4,4,1063,2/5/2025,1
5,5,1078.75,2/6/2025,2
6,6,1094.5,2/7/2025,1
7,7,1110.25,2/8/2025,2
8,8,1126,2/9/2025,1
9,9,1141.75,2/10/2025,2
10,10,1157.5,2/11/2025,1
11,11,1173.25,2/12/2025,2
12,12,1189,2/13/2025,1
13,13,1204.75,2/14/2025,2
14,14,1220.5,2/15/2025,1
15,15,1236.25,2/16/2025,2
16,16,1252,2/17/2025,1
17,17,1267.75,2/18/2025,2
18,18,1283.5,2/19/2025,1
19,19,1299.25,2/20/2025,2
20,20,1315,2/21/2025,1
